"CONT_CODE";"COUNT_CODE";"LANG_CODE";"POST_CODE";"TOWN";"QUARTER";"MUNIC_CODE";"ADMIN1";"ADMIN2";"ADMIN3";"LON_DEC";"LAT_DEC";"LON_GEO";"LAT_GEO";"UTM_E_NAT";"UTM_N_NAT";"UTM_E_CENT";"UTM_N_CENT";"UTM_STRIP";"ELEVATION";"UTC_DIF";"DST_DIF";"DST_START";"DST_END";"RELEASE"
"EU-W";"DE";"de";"63796";"Kahl (Main)";"Emmerichshofen";"09671134";"Bayern";"Unterfranken";"Aschaffenburg (Landkreis)";"9.00761";"50.09408";"90027.4";"500538.7";"32500544";"5549091";"32500544";"5549091";"32N";"116";"1:00";"1:00";"03SUL";"10SUL";"1807"
"EU-W";"DE";"de";"63796";"Kahl (Main)";"Kahl";"09671134";"Bayern";"Unterfranken";"Aschaffenburg (Landkreis)";"9.00853";"50.06803";"90030.7";"500404.9";"32500610";"5546195";"32500610";"5546195";"32N";"111";"1:00";"1:00";"03SUL";"10SUL";"1807"
"EU-W";"DE";"de";"56761";"Kaifenheim";"Kaifenheim";"07135043";"Rheinland-Pfalz";"Kein Regierungsbezirk";"Cochem-Zell";"7.23117";"50.24422";"71352.2";"501439.2";"32373880";"5567282";"32373880";"5567282";"32N";"360";"1:00";"1:00";"03SUL";"10SUL";"1807"
"EU-W";"DE";"de";"56829";"Kail";"Kail";"07135044";"Rheinland-Pfalz";"Kein Regierungsbezirk";"Cochem-Zell";"7.24442";"50.18344";"71439.9";"501100.4";"32374666";"5560502";"32374666";"5560502";"32N";"287";"1:00";"1:00";"03SUL";"10SUL";"1807"
"EU-W";"DE";"de";"25560";"Kaisborstel";"Kaisborstel";"01061048";"Schleswig-Holstein";"Kein Regierungsbezirk";"Steinburg";"9.47703";"54.02208";"92837.3";"540119.5";"32531252";"5986084";"32531252";"5986084";"32N";"15";"1:00";"1:00";"03SUL";"10SUL";"1807"
"EU-W";"DE";"de";"06642";"Kaiserpfalz";"Allerstedt";"15084246";"Sachsen-Anhalt";"Kein Regierungsbezirk";"Burgenlandkreis";"11.44158";"51.25158";"112629.7";"511505.7";"32670385";"5680634";"32670385";"5680634";"32N";"132";"1:00";"1:00";"03SUL";"10SUL";"1807"
"EU-W";"DE";"de";"06642";"Kaiserpfalz";"Bucha";"15084246";"Sachsen-Anhalt";"Kein Regierungsbezirk";"Burgenlandkreis";"11.51117";"51.23511";"113040.2";"511406.4";"32675304";"5678967";"32675304";"5678967";"32N";"175";"1:00";"1:00";"03SUL";"10SUL";"1807"
"EU-W";"DE";"de";"06642";"Kaiserpfalz";"Memleben";"15084246";"Sachsen-Anhalt";"Kein Regierungsbezirk";"Burgenlandkreis";"11.48697";"51.26517";"112913.1";"511554.6";"32673501";"5682252";"32673501";"5682252";"32N";"123";"1:00";"1:00";"03SUL";"10SUL";"1807"
"EU-W";"DE";"de";"06642";"Kaiserpfalz";"Wendelstein";"15084246";"Sachsen-Anhalt";"Kein Regierungsbezirk";"Burgenlandkreis";"11.46856";"51.27539";"112806.8";"511631.4";"32672179";"5683345";"32672179";"5683345";"32N";"113";"1:00";"1:00";"03SUL";"10SUL";"1807"
"EU-W";"DE";"de";"06642";"Kaiserpfalz";"Wohlmirstedt";"15084246";"Sachsen-Anhalt";"Kein Regierungsbezirk";"Burgenlandkreis";"11.46136";"51.24581";"112740.9";"511444.9";"32671787";"5680039";"32671787";"5680039";"32N";"129";"1:00";"1:00";"03SUL";"10SUL";"1807"
"EU-W";"DE";"de";"06642";"Kaiserpfalz";"Zeisdorf";"15084246";"Sachsen-Anhalt";"Kein Regierungsbezirk";"Burgenlandkreis";"11.44506";"51.24011";"112642.2";"511424.4";"32670671";"5679367";"32670671";"5679367";"32N";"163";"1:00";"1:00";"03SUL";"10SUL";"1807"
"EU-W";"DE";"de";"73667";"Kaisersbach";"Brandhöfle";"08119037";"Baden-Württemberg";"Stuttgart";"Rems-Murr-Kreis";"9.68086";"48.93231";"94051.1";"485556.3";"32549867";"5420154";"32549867";"5420154";"32N";"490";"1:00";"1:00";"03SUL";"10SUL";"1807"
"EU-W";"DE";"de";"71540";"Kaisersbach";"Bruch";"08119037";"Baden-Württemberg";"Stuttgart";"Rems-Murr-Kreis";"9.64039";"48.94214";"93825.4";"485631.7";"32546894";"5421221";"32546894";"5421221";"32N";"468";"1:00";"1:00";"03SUL";"10SUL";"1807"
